Each row in this file corresponds to the 120 rock images in alphanumeric order (i.e., the first row corresponds to I_Andesite_1, the final row corresponds to S_Shale_4). The first 8 columns correspond to the rocks' values along the 8 MDS dimensions (lightness, grain size, roughness, shininess, organization, chromaticity, shape, and hue). The last 5 columns correspond to the rocks' averaged ratings on the supplemental dimensions (porphyritic texture, pegmatitic texture, conchoidal fractures, holes, and layers). The supplemental dimensions have been rescaled to the range (-5, 5). 

-0.72	-0.61	-0.19	-0.94	-1.62	-2.11	2.58	-1.78	2.7	-0.35	-1.8	-4.5	-5
0.3	1.5	1.01	-0.76	-1.79	-2.5	-0.94	-1.53	2.65	0.8	-2.5	-3	-5
-0.55	2.72	-0.24	0.41	-0.83	-2.66	0.25	-0.08	1.55	-0.46	-2.55	-4.5	-5
0.5	2.23	1.71	-0.76	-0.53	-1.91	0.37	-1.5	3.05	0.57	-3.15	-4	-5
-2.67	-1.28	0.22	0.31	0.14	1.11	1.6	-0.1	-2.5	-2.87	-1.3	-5	-3.5
-2.33	-0.7	1.77	-0.39	-0.72	2.17	-0.62	0.18	-1.7	-2.69	-1.5	3	-4.5
-1.86	-0.82	-1.21	-0.99	-0.52	1.17	2.47	0.71	-1.65	-3.17	-0.8	5	-5
-1.26	-1.14	0.52	-0.67	0.39	2.95	1.78	-0.54	-2.1	-3.2	-2.7	-1.5	-5
0.22	2.75	0.72	-0.6	-1.73	0.14	-0.11	2.42	1.1	0.17	-2.45	-5	-5
1.22	2.72	-0.47	-0.52	-1.13	-2.71	0.28	1.24	1.9	0.43	-2.1	-5	-4.5
-0.39	1.91	0.45	-2.06	0.14	0.77	1.3	2.27	0.9	-1.39	-3.05	-5	-4.5
-0.1	2.47	0.83	0.25	0.89	-2.22	0.49	1.93	1.05	-0.06	-2.3	-5	-4.5
-2	1.76	0.49	-2.17	0.04	0.94	-0.55	1.27	0.6	-1.09	-2.5	-4	-5
-2.07	0.42	-0.09	0.8	0.75	1.75	1.71	1.36	-1.05	-1.94	-2.45	-4.5	-4.5
-2.15	1.58	-0.01	-0.93	0.17	0.7	-0.06	2.36	0.6	-1.06	-2.5	-4	-4.5
-2.79	-1.06	-0.62	-0.46	-0.84	1.3	1.31	0.58	-2.35	-2.83	-2.8	-5	-4.5
-0.89	3.12	0.56	-0.09	-1.44	-0.12	1.85	-0.98	2	0.43	-2.65	-5	-4.5
1.12	1.97	2.52	-0.27	-0.79	-2.52	0.53	0.63	1.15	-0.09	-3	-4.5	-5
0.78	2.89	-0.42	-0.43	-1.24	-2.55	0.01	0.81	1.55	0.46	-2.9	-5	-5
-0.36	2.26	1.25	-0.1	1.04	-1.29	1.5	-1.48	0.6	-0.06	-2	-4.5	-5
-2.11	-2.43	-0.2	1.99	-0.88	-1.19	0.46	1.83	-3.25	-2.06	1.35	-4.5	-5
-2.02	-1.93	-2.07	2.08	-0.5	0.31	0.71	0.76	-3.35	-2.61	4.4	-5	-3
-1.48	-0.86	-0.26	3.68	-0.9	0.83	-0.23	1.33	-2.8	-1.57	2.45	-4.5	-3.5
-1.89	-2.06	-0.97	2.95	-0.82	-0.34	1.14	0.84	-3.45	-2.43	3.65	-4.5	-4.5
0.11	1.26	-0.34	-1.28	-3.35	0.2	-1.53	1.5	2.35	1.24	-2.8	-4.5	-5
-1.67	1.19	1.32	2.17	-0.37	0.36	-2.14	-0.47	-0.45	0.46	-1.25	-5	-1
1.11	1.09	-0.19	2.12	-0.99	0.06	-1.87	3.4	0.1	4.46	-1.5	-5	-3
1.51	1.14	-1.38	1.28	-3.24	-1.64	-0.16	0.73	2.4	1.76	-2.3	-5	-5
0.91	-0.89	4.14	0.18	1.75	-0.65	1.46	0.25	0.1	-1.09	-2.35	-1.5	-5
1.89	0.23	1.69	-1.89	0.18	-0.43	0.07	2.74	0.3	-1.83	-2.55	-5	-5
1.47	0.57	3.93	-0.42	-0.93	-1.17	0.74	0.19	1.4	-0.06	-2.65	-4.5	-5
-1.23	-1.2	3.2	0	1.19	-1.49	0.12	1.42	-0.15	-1.17	-2.2	-5	-3.5
2	-1.25	1.25	-1.43	-2.35	1.62	0.75	1.47	-1.9	-3.2	-2.85	4.5	-5
0.65	0.08	1	-1.7	-2.49	2.47	1	1	-2	-3.28	-3	4	-5
0.93	-0.77	0.37	-2.11	-2.77	1.02	1.32	1.76	-1.65	-3.31	-2.8	4.5	-5
-0.47	-0.92	1.82	-0.77	-3.31	2.44	0.39	-0.68	-1.85	-3.06	-2.3	5	-5
0.58	1.89	1.53	-0.87	-0.3	1.25	2.57	-1.79	3.25	-0.76	-1.75	-4.5	-5
2.19	0.63	-1.6	-2.17	-0.2	0.36	1.78	-1.11	3.9	-2.43	-2.4	-4.5	-1.5
-0.25	2.96	2.13	-0.05	0.75	0.95	0.09	-0.18	3.3	-1.31	-2.7	-4.5	-4.5
